County,2015,2016,2017,2018,2019,2020,2021,2022
Adams,140800,145900,154100,160600,192700,216900,257900,299200
Asotin,170300,178000,197100,216700,200000,216900,250800,292500
Benton,201200,222800,244000,276700,299800,329500,378200,440300
Chelan,269800,275600,305100,337200,357000,418600,502800,589200
Clallam,219300,250700,270300,293000,309800,352600,420600,452400
Clark,263200,294600,332800,359100,371700,403700,481600,543700
Columbia,166900,140000,152700,162700,186400,214700,256200,269400
Cowlitz,179100,199900,225600,246900,275200,307500,362100,383200
Douglas,238300,259000,283000,318200,347800,373200,450000,458100
Ferry,127500,95000,146700,164000,160000,172900,229200,237500
Franklin,201200,222800,244000,276700,299800,329500,378200,440300
Garfield,170300,178000,197100,216700,200000,216900,178000,207100
Grant,165400,182400,190500,202300,227900,258500,311700,357100
GraysHarbor,138800,151600,169400,191600,215200,251100,309900,353900
Island,290400,316900,340400,366000,388100,442700,532500,574300
Jefferson,276600,320200,355200,371800,402000,455900,569400,606800
King,486100,566200,637700,689900,677700,729600,838300,914300
Kitsap,260200,288400,316600,346800,381400,425100,497500,539800
Kittitas,243700,259900,285300,336000,346200,411000,485400,567500
Klickitat,204900,236600,244100,270000,283100,370800,399100,387100
Lewis,158700,174000,199200,227400,258700,304100,364300,400100
Lincoln,80000,80000,105000,115600,142500,202100,215600,239300
Mason,170800,194100,213600,242900,271900,319600,378300,409900
Okanogan,166500,182900,198700,217800,220400,254500,309000,352500
Pacific,141600,143500,165000,189100,206000,234300,303100,317400
Pend,150400,156400,169200,188000,206900,242000,289400,322800
Pierce,251900,279000,315700,347400,372200,424300,508300,554400
SanJuan,444300,467100,516700,550000,652000,694800,887500,958300
Skagit,281000,287300,317000,349900,374100,421800,499500,548200
Skamania,217600,256500,271600,292000,323100,340500,400000,432600
Snohomish,358900,391700,439300,482100,493000,549400,676900,760600
Spokane,192200,207300,222600,246200,276600,318200,390200,440000
Stevens,150400,156400,169200,188000,206900,242000,289400,322800
Thurston,247000,266100,285800,315800,341200,383600,460500,502500
Wahkiakum,167500,212500,226800,240900,256800,313900,393700,412500
WallaWalla,186700,212300,217900,244900,260300,305500,376400,422900
Whatcom,290400,311700,343600,382300,401300,444400,547400,608300
Whitman,204100,228700,241200,264100,287500,291300,355900,393000
Yakima,166800,189000,204200,226600,249000,281500,327200,351000
Statewide,438000,316400,289100,315900,397900,452400,560400,647900
